2	44	0	87675
0	102	1	149960
0	64	9	83441
1	27	0	114434
1	91	2	199023
0	19	0	32689
0	34	1	129752
2	30	1	108631
26	655	35	599589
214	2494	267	1054656
10	172	12	208711
9	304	52	173170
3	109	0	212719
4	42	5	168493
3	202	20	188937
1	101	2	147977
39	1678	181	712402
320	13326	1152	3120358
93	3109	252	1225797
290	6574	320	1605952
21	842	25	619087
25	906	45	592163
11	862	64	472485
6	426	37	114081
5	162	6	155203
26	1311	120	584361
14	516	36	311908
1	118	0	169884
6	110	5	139757
12	660	57	507524
10	238	5	211498
3	311	25	130964
5	357	2	106317
77	2373	73	424830
