4 4	
	 1.04602786 0.313808358 0.06656880537   0
	 0.313808358 1.140170367 0.4437920351 0.1153005533
	 0.06656880537 0.4437920351 1.234312874 0.5435320206
	   0 0.1153005533 0.5435320206 1.328455382
	
