10 10	
	 4.707211295e-07 1.412163389e-07   0 2.995650925e-08   0   0   0   0   0   0
	 1.412163389e-07 5.130860311e-07   0 1.997100613e-07   0   0 5.18861961e-08   0   0   0
	   0   0 4.707211295e-07   0 1.412163389e-07   0   0 2.995650925e-08   0   0
	 2.995650925e-08 1.997100613e-07   0 5.554509327e-07   0   0 2.445938741e-07   0   0   0
	   0   0 1.412163389e-07   0 5.130860311e-07   0   0 1.997100613e-07   0   0
	   0   0   0   0   0 4.707211295e-07   0   0 1.412163389e-07   0
	   0 5.18861961e-08   0 2.445938741e-07   0   0 5.978158346e-07   0   0   0
	   0   0 2.995650925e-08   0 1.997100613e-07   0   0 5.554509327e-07   0   0
	   0   0   0   0   0 1.412163389e-07   0   0 5.130860311e-07   0
	   0   0   0   0   0   0   0   0   0 4.707211295e-07
	
