10 10	
	 4.122709356e-06 1.236812807e-06   0 2.623676168e-07   0   0   0   0   0   0
	 1.236812807e-06 4.493753198e-06   0 1.749117443e-06   0   0 4.544340433e-07   0   0   0
	   0   0 4.122709356e-06   0 1.236812807e-06   0   0 2.623676168e-07   0   0
	 2.623676168e-07 1.749117443e-06   0 4.864797039e-06   0   0 2.142222624e-06   0   0   0
	   0   0 1.236812807e-06   0 4.493753198e-06   0   0 1.749117443e-06   0   0
	   0   0   0   0   0 4.122709356e-06   0   0 1.236812807e-06   0
	   0 4.544340433e-07   0 2.142222624e-06   0   0 5.235840883e-06   0   0   0
	   0   0 2.623676168e-07   0 1.749117443e-06   0   0 4.864797039e-06   0   0
	   0   0   0   0   0 1.236812807e-06   0   0 4.493753198e-06   0
	   0   0   0   0   0   0   0   0   0 4.122709356e-06
	
